raceId,driverId,stop,lap,constructorId,grid,laps,position,circuitId,podium
1029,9,4,66,3,19,70,16,18,0
1029,20,2,49,6,2,65,17,18,0
1029,154,2,65,210,7,71,13,18,0
1029,807,3,53,4,13,71,15,18,0
1029,815,2,45,211,15,71,9,18,0
1029,817,2,40,4,11,71,6,18,0
1029,825,2,53,210,9,71,11,18,0
1029,826,2,46,5,16,71,10,18,0
1029,830,3,54,9,1,71,1,18,1
1029,832,1,29,1,20,71,3,18,1
1029,840,2,53,211,17,65,19,18,0
1029,841,2,46,51,12,71,5,18,0
1029,842,2,47,5,6,71,2,18,1
1029,844,2,54,6,14,65,18,18,0
1029,846,2,53,1,10,71,8,18,0
1029,847,3,66,3,18,71,12,18,0
1029,848,2,50,9,5,71,14,18,0
1030,1,1,26,131,1,55,1,24,1
1030,8,1,22,51,17,54,13,24,0
1030,9,1,24,3,19,53,19,24,0
1030,20,2,38,6,4,55,5,24,0
1030,154,1,18,210,15,54,15,24,0
1030,807,1,18,4,9,54,12,24,0
1030,815,1,37,211,10,54,7,24,0
1030,817,2,42,4,7,54,11,24,0
1030,822,1,29,131,20,55,4,24,0
1030,825,1,20,210,14,54,14,24,0
1030,826,1,40,5,13,54,9,24,0
1030,830,1,25,9,2,55,2,24,1
1030,832,2,41,1,8,54,10,24,0
1030,841,2,26,51,16,54,16,24,0
1030,844,2,38,6,3,55,3,24,1
1030,846,1,8,1,6,54,8,24,0
1030,847,1,32,3,18,54,17,24,0
1030,848,1,13,9,5,55,6,24,0
1031,1,2,56,131,5,71,4,70,0
1031,20,3,56,6,11,71,10,70,0
1031,815,2,56,211,6,71,6,70,0
1031,822,2,56,131,1,71,1,70,1
1031,826,3,56,213,13,69,12,70,0
1031,832,3,56,1,8,71,5,70,0
1031,839,2,56,4,14,71,8,70,0
1031,841,3,56,51,18,71,9,70,0
1031,842,2,56,213,12,71,7,70,0
1031,844,3,56,6,7,71,2,70,1
1031,846,3,56,1,3,71,3,70,1
1031,848,3,56,9,4,67,13,70,0
1031,849,3,56,3,20,71,11,70,0
1032,1,1,27,131,1,71,1,70,1
1032,8,1,44,51,16,70,11,70,0
1032,154,1,37,210,0,70,13,70,0
1032,815,1,38,211,17,71,6,70,0
1032,817,1,37,4,8,71,8,70,0
1032,822,1,34,131,4,71,2,70,1
1032,825,1,31,210,15,70,12,70,0
1032,826,1,36,213,13,70,10,70,0
1032,830,2,68,9,2,71,3,70,1
